"anxiety","flexibility","mindfulness","activity"
50.172439534171,44.3952435344779,"no","pilates"
31.4745075943142,47.6982251051672,"yes","altro"
34.0398067178748,65.5870831414912,"no","pilates"
37.0671199271216,50.7050839142458,"no","altro"
48.3054880436364,51.2928773516095,"no","altro"
16.9408741883582,67.1506498688328,"yes","altro"
36.4117043432486,54.609162059892,"no","pilates"
28.7952996789542,37.3493876539347,"yes","pilates"
43.9354517762363,43.1314714810647,"no","pilates"
34.9830041754162,45.5433802990004,"no","yoga"
11.4462748162846,62.2408179743946,"yes","yoga"
29.1129309258952,53.5981382705736,"no","yoga"
48.4340901617582,54.0077145059405,"no","pilates"
29.1452083523443,51.1068271594512,"yes","altro"
31.2656133296405,44.4415886524593,"yes","yoga"
1.48310969109019,67.8691313680308,"yes","pilates"
24.2490575024211,54.9785047822924,"yes","altro"
40.3889086384471,30.3338284337036,"yes","altro"
10.9758777922246,57.0135590156369,"yes","yoga"
47.0970028097601,45.2720859227207,"no","yoga"
27.3983563430605,39.3217629401315,"yes","pilates"
25.1177757046482,47.8202508534171,"yes","yoga"
33.4142125660491,39.7399555169276,"yes","yoga"
46.5354070885458,42.7110877070886,"no","pilates"
43.7489189517687,43.7496073215074,"no","altro"
58.1392955873329,33.1330668925759,"no","altro"
33.6640051867316,58.3778704449452,"no","yoga"
23.6088986432342,51.5337311783652,"yes","altro"
35.7504394470494,38.6186306298805,"no","yoga"
46.1645125671161,62.5381492106993,"no","pilates"
20.6222347225701,54.2646422147681,"yes","pilates"
14.7876421113557,47.0492851700773,"yes","yoga"
40.1906685085431,58.9512566104502,"no","pilates"
25.4042168675732,58.7813348753304,"yes","altro"
31.1229229131996,58.2158108163749,"no","pilates"
23.8420166615898,56.8864025410009,"no","yoga"
25.5410638394439,55.5391765353759,"yes","altro"
33.1303634325842,49.3808828942328,"yes","pilates"
32.3223588220902,46.9403733626008,"yes","pilates"
36.437667884252,46.1952899898762,"no","yoga"
27.6920076945217,43.0529302107949,"yes","pilates"
32.8107547298899,47.920827219804,"yes","altro"
31.6445411970586,37.3460364843174,"yes","yoga"
37.3037789067711,71.6895596533851,"no","altro"
28.9812002570306,62.0796199830499,"no","yoga"
34.3585303484389,38.7689141679665,"yes","yoga"
28.6661362104123,45.9711516470092,"yes","altro"
37.6805532675163,45.3334464637678,"no","yoga"
44.8042470269479,57.7996511833632,"no","altro"
27.5334415084384,49.1663093352817,"yes","yoga"
18.5342468947698,52.5331851399475,"yes","altro"
22.7357793225217,49.714532446513,"yes","yoga"
45.2582473451297,49.5712954270868,"no","pilates"
5.16566244444564,63.6860228401446,"yes","yoga"
25.983524898991,47.7422901434073,"yes","yoga"
12.2438344170092,65.1647060442954,"yes","pilates"
45.9425346904337,34.5124719576978,"yes","altro"
36.7693414123329,55.8461374963607,"no","yoga"
32.9782817680657,51.2385424384461,"yes","altro"
44.5238888027153,52.1594156874397,"no","altro"
31.6607657914696,53.7963948275988,"yes","altro"
40.4188368133378,44.976765468907,"yes","altro"
56.4972769956253,46.6679261633058,"no","altro"
28.9880524080043,39.8142461689291,"yes","yoga"
36.1137006807159,39.2820877352442,"no","pilates"
43.6399868159487,53.0352864140426,"no","altro"
27.8903375918439,54.4820977862943,"yes","altro"
35.9582521306255,50.530042267305,"no","yoga"
23.3855708287272,59.2226746787974,"yes","pilates"
39.8029663944356,70.5008468562714,"no","altro"
41.8652436794436,45.0896883394346,"no","pilates"
36.6937054937051,26.9083112435919,"yes","yoga"
38.9605184216904,60.0573852446226,"no","pilates"
37.7948851054663,42.9079923741761,"no","yoga"
40.896379999778,43.1199138353264,"no","yoga"
13.0124624176966,60.255713696967,"yes","altro"
23.3939124423689,47.1522699294899,"yes","pilates"
36.4648111832521,37.7928228774546,"no","yoga"
31.825364117618,51.8130347974915,"no","yoga"
42.2279341725419,48.6110863756096,"no","altro"
31.8711764114326,50.0576418589989,"yes","altro"
29.2136022047289,53.8528040112633,"yes","pilates"
25.9577025771092,46.2933996820759,"yes","pilates"
20.5051692484781,56.4437654851883,"yes","altro"
23.3349616377837,47.7951343818125,"yes","pilates"
22.6045826207718,53.317819639157,"yes","pilates"
13.1269815671917,60.9683901314935,"yes","yoga"
37.2421802150223,54.351814908338,"no","yoga"
37.0230337168142,46.7406841446877,"no","yoga"
28.8635155634444,61.4880761845109,"no","altro"
31.5753093424387,59.9350385596212,"no","yoga"
24.0971553367013,55.4839695950807,"yes","yoga"
34.2868841967715,52.3873173511144,"yes","altro"
44.1947142896407,43.7209392396063,"no","altro"
30.4578550391621,63.6065244853001,"no","altro"
43.4921195693563,43.9974041285287,"yes","pilates"
33.25122532252,71.8733299301658,"no","altro"
28.849690618546,65.3261062618519,"no","yoga"
45.2813727389931,47.6429964089952,"no","pilates"
34.0619072184383,39.7357909969322,"no","yoga"
23.3317503899387,42.895934363007,"yes","yoga"
36.0133694277673,52.5688370915653,"no","altro"
34.7679863222589,47.5330812153763,"no","yoga"
30.0270453608069,46.5245740060227,"yes","pilates"
39.9345455463905,40.4838143273498,"no","pilates"
33.265107470499,49.5497227519108,"yes","altro"
33.9410514302862,42.1509553054292,"yes","pilates"
40.8186345548375,33.3205806341186,"no","yoga"
40.0327573133441,46.1977347971224,"no","yoga"
44.1454227671654,59.1899660906077,"no","altro"
39.3329050045675,44.2465303739161,"yes","altro"
16.6800083511921,56.0796432222503,"yes","yoga"
32.8569949884689,33.8211729171084,"yes","yoga"
29.9553630837622,49.4443803447546,"yes","altro"
41.6102727605579,55.1940720394346,"no","yoga"
46.1195926505564,53.0115336216671,"no","pilates"
48.6436268680405,51.0567619414894,"no","altro"
46.7668260423234,43.5929399169462,"no","altro"
37.8141375930671,41.5029565396642,"yes","altro"
44.137095609128,39.7587120939509,"no","yoga"
39.2034005430528,51.1764659710013,"no","altro"
24.9907997226899,40.525253858152,"yes","pilates"
36.6430522441628,45.0944255629933,"yes","altro"
16.1460926894856,47.4390780780175,"yes","yoga"
14.1013844057956,68.4386200523221,"yes","pilates"
27.8148884186099,43.4805009830454,"yes","yoga"
31.1716309455354,52.3538657228486,"yes","altro"
30.4014052406281,50.7796084956371,"yes","altro"
25.0687274074253,40.3814336586987,"yes","yoga"
50.2883697300953,49.286919138764,"no","altro"
38.4704145424145,64.4455085842335,"no","yoga"
31.2453656730727,54.5150405307921,"yes","altro"
19.9931150394295,50.4123292199294,"yes","altro"
31.9553587533921,45.7750316766038,"yes","yoga"
54.9859563767712,29.4675277845948,"no","altro"
41.9678853295256,61.3133721341418,"no","altro"
35.3346466758291,35.3935992907518,"yes","yoga"
24.3369370578251,57.3994751087733,"yes","altro"
35.0781661656689,69.0910356921748,"no","altro"
57.3152511515135,35.561068390282,"no","altro"
25.6455192648082,57.0178433537471,"yes","pilates"
48.2622986772335,47.3780251059753,"no","pilates"
64.7753542718791,34.2785584085451,"no","altro"
43.9247528949427,34.8533234621825,"yes","altro"
46.0445866547995,33.9846382642541,"no","yoga"
14.663180102314,44.690934778297,"yes","yoga"
45.6908591112019,35.382444150041,"yes","yoga"
31.1470320261393,56.8791677297583,"no","yoga"
24.1729109917973,71.0010894052567,"yes","pilates"
37.8824311722712,37.1296952396482,"yes","pilates"
45.7534567571081,57.8773884747518,"no","pilates"
37.6062371891143,57.6904224100091,"no","pilates"
42.89634087874,53.3220257895012,"no","pilates"
51.1116729395963,39.9162339172299,"no","altro"
29.9055647495471,48.8054739336934,"yes","altro"
37.8000075527388,47.1960466482975,"no","yoga"
47.2492240131189,55.6298953322048,"no","altro"
23.5997805578693,46.2756124389617,"yes","yoga"
21.9267205943679,59.7697338668562,"no","yoga"
42.8934580446859,46.2541914223299,"no","pilates"
22.329972768626,60.5271146557933,"yes","pilates"
45.3281636150875,39.5082299333393,"no","yoga"
33.903925800694,37.3984475524189,"yes","yoga"
12.3342927209426,82.410399349424,"no","yoga"
26.761713407179,45.8314241183957,"yes","yoga"
45.3481580920317,52.9822759154072,"no","pilates"
48.200045037169,56.3656967403385,"no","altro"
38.2940967733231,45.1621937429126,"no","yoga"
21.7725027588907,55.1686204431361,"yes","pilates"
34.8564374676946,53.6896452738509,"yes","altro"
20.1680233245953,47.8461949235831,"yes","pilates"
24.3587988807572,50.6529303352532,"yes","pilates"
29.5257811729565,49.6593274626154,"yes","pilates"
4.0119678799806,71.2845189901618,"yes","pilates"
50.1048197935229,42.5866390372717,"no","altro"
59.8693014406343,39.0400373292534,"no","altro"
36.7907547369629,50.3778839917108,"no","yoga"
34.0553261279664,53.1048074944314,"no","yoga"
29.318894217799,54.3652347891018,"yes","altro"
23.8131964750412,45.4163466728889,"yes","yoga"
46.3836325402513,39.3667386602881,"no","yoga"
17.679881089622,62.6318517608949,"yes","yoga"
38.7617102459184,46.5034961204645,"no","yoga"
30.175129249825,41.3448713734663,"yes","altro"
22.0628533452922,47.637204310589,"yes","pilates"
35.0208926434662,48.0282410565145,"no","yoga"
35.437301054181,61.0992028971364,"no","yoga"
26.7852876657294,50.847372921972,"no","yoga"
28.7981052804147,57.5405378518452,"no","pilates"
30.2261449964053,45.0070798282774,"yes","altro"
27.4708570728317,52.144453095816,"yes","pilates"
19.7049711396109,46.7531408850917,"yes","yoga"
40.9608275446124,50.9458352817357,"no","yoga"
43.1436666406636,41.0463664202246,"no","yoga"
35.3224126421028,36.8919846667203,"yes","pilates"
36.1080737589191,69.9721338474797,"no","pilates"
40.9382816957348,56.0070882367242,"no","pilates"
49.0266816720639,37.4872863837506,"no","altro"
41.2114042554929,43.8883408331958,"no","yoga"
46.1649672128745,38.1451991540269,"no","yoga"
32.7873649798916,71.9881034888372,"no","pilates"
32.1478840780851,63.1241297643351,"no","pilates"
42.6017363088027,47.3485494330365,"no","yoga"
45.0487108316326,55.4319405923209,"no","pilates"
45.453072522311,45.8566005208114,"no","pilates"
34.05425157462,45.2375310538442,"yes","altro"
48.564888785352,42.1139716214976,"no","altro"
55.7801655688115,44.0538273254049,"no","pilates"
16.8252253893221,66.5090746733669,"yes","pilates"
29.5867267320984,49.4597187491456,"yes","altro"
23.8641848068758,51.1924523642758,"no","yoga"
17.4677791676537,52.4368742959909,"yes","pilates"
38.4492546045205,62.3247587848534,"no","altro"
26.643917040829,44.8393616905522,"yes","yoga"
30.3319123470523,40.0749284960796,"yes","yoga"
32.7290492402271,66.7569693240319,"no","yoga"
46.2350540379242,45.5883678309471,"no","altro"
51.6882738221122,42.7693403006013,"no","pilates"
26.0463316178352,37.6372688111671,"yes","yoga"
32.9507964540092,37.152842776822,"yes","altro"
19.8728834673168,44.2602652070201,"yes","yoga"
37.6215560350999,56.1798581716653,"no","yoga"
18.8164633157958,61.0984813892972,"yes","pilates"
20.9959711322534,57.0758835383559,"yes","yoga"
23.2070689718813,46.3634270290475,"yes","yoga"
33.7417898020129,50.597499373846,"no","yoga"
43.6812194427678,42.9540353631993,"no","pilates"
39.3230066866614,42.8278183842599,"no","altro"
26.7286712030448,58.8465049897692,"no","yoga"
29.8989748184326,39.8440742139646,"yes","altro"
40.4951415324144,69.5529396549246,"no","altro"
24.645586700947,49.0968040603415,"yes","pilates"
44.8746051308048,52.1453882662922,"no","pilates"
42.7521469416368,42.6147229526043,"yes","altro"
30.0618467827932,44.2561131023673,"yes","pilates"
37.6385074578984,36.8298386769476,"yes","pilates"
14.5251401216287,48.1707461162727,"yes","yoga"
14.9737742779297,54.1898240492446,"yes","yoga"
43.6595525261073,53.2430434416138,"no","altro"
42.4031169519545,42.1846351294525,"no","yoga"
28.7233632094836,42.11378029146,"yes","pilates"
46.939686024534,44.9780128165714,"yes","altro"
9.2356246156136,64.9606066984635,"yes","yoga"
48.0077358864789,38.6269637933426,"no","pilates"
26.502320496429,48.209484056198,"yes","yoga"
35.3580977177354,69.0236182167893,"no","altro"
27.4889872621661,48.9902511467119,"yes","altro"
57.0257318389235,36.4015929617861,"no","altro"
48.4015737924063,43.3523056472594,"no","yoga"
34.4242302502264,54.8545997890488,"no","yoga"
46.6893510853642,46.2439712833023,"no","pilates"
33.4460720523353,44.3812363645022,"yes","altro"
34.48969672741,46.5608276587154,"yes","pilates"
20.5856864987262,50.9049664713922,"yes","pilates"
30.4147397219516,65.9850877114583,"yes","altro"
34.4251693217527,49.1143488786112,"no","yoga"
7.14015645474892,60.8079949615152,"yes","yoga"
37.0916402857818,56.3075411565057,"no","pilates"
46.3017418982557,48.8636010449386,"no","altro"
40.8484200586353,34.670979971094,"yes","yoga"
44.1616349716192,44.7888268244748,"no","yoga"
40.1616444259213,45.1012954686153,"no","yoga"
22.7225013507285,50.4715443276153,"yes","altro"
26.1688178883053,63.0019867766682,"no","yoga"
5.13202252203588,72.9307897383109,"yes","yoga"
42.0272252723841,65.4758105898377,"no","yoga"
36.3646169505527,48.6684903567106,"no","altro"
51.4379102370183,32.4347260444236,"no","yoga"
22.0852877623326,46.1122013592826,"yes","yoga"
34.705503938424,50.8920722307329,"yes","pilates"
35.0789317797958,58.4501300406744,"no","altro"
40.9054763308924,59.6252796848427,"no","altro"
19.712079285571,56.8430942941646,"yes","altro"
41.2845025804046,36.0472565020053,"yes","pilates"
23.4713961242569,58.4964304563335,"yes","yoga"
42.8795055469963,45.5344278357278,"yes","altro"
45.1139897871413,51.7480270016126,"no","pilates"
30.694473032673,50.7455117717373,"yes","yoga"
25.2349521885147,54.2816676497051,"yes","yoga"
29.1679005610969,50.2467498282614,"yes","altro"
47.7225616793518,33.3252490241434,"no","yoga"
11.9845571892062,57.3649596477344,"yes","yoga"
26.3718031745473,53.8602656834968,"yes","altro"
49.4330766681352,47.3434837472178,"no","pilates"
28.879409140085,51.1814451104668,"yes","pilates"
23.3485161405474,51.3403864536846,"yes","yoga"
30.704247458759,52.21019468561,"no","yoga"
30.773203018442,66.4084616597749,"no","pilates"
42.2722218258995,47.8094962106652,"no","altro"
46.1361524306442,51.6806538388466,"no","altro"
8.86877473618356,61.6838387306909,"yes","yoga"
25.4309397868568,60.5418102337692,"yes","altro"
16.4010761676698,61.4526311038036,"yes","altro"
40.1849282980937,44.2253199894044,"yes","pilates"
10.2855776353407,70.0248273029283,"yes","yoga"
18.0280758422224,50.6670087093018,"yes","yoga"
33.8709704389718,68.6685184470686,"no","pilates"
41.9922474340138,36.4909731396929,"no","yoga"
43.7508218670271,50.2098358635424,"no","pilates"
14.468261597017,62.4991457096922,"yes","yoga"
